{0, -82, 0, 58, 47, 0, 102, 0} {0, -40, -7, 36, 0, -42, 0, 0} 5368
{0, 0, -110, 0, -53, 48, 0, 47} {0, 0, 0, 115, 0, -51, -28, 66} 654
{0, -30, 103, -75, 0, 124, 0, 0} {-85, 0, 0, 66, -59, -37, 0, 0} -9538
{-91, 0, -58, -102, 0, 0, 0, 42} {-95, -121, 0, 0, 15, 0, 0, 112} 13349
{0, 0, -120, -28, 0, 101, 0, 68} {0, 0, -72, 105, 0, 99, 96, 0} 15699
{11, 0, 0, 0, 7, 0, 38, -22} {0, 0, 98, -63, -48, -97, 0, 0} -336
{-71, 69, -43, 0, 16, 0, 0, 0} {0, -115, -125, -27, -6, 0, 0, 0} -2656
{45, 0, 103, -54, 0, 0, 0, -67} {-127, 28, 0, 0, 0, 22, -26, 0} -5715
{2, -128, 22, 0, -80, 0, 0, 0} {-36, 0, 0, 0, -40, 23, 89, 0} 3128
{110, 74, 0, 0, 0, -59, 0, 48} {62, 99, 0, 0, -94, 0, -113, 0} 14146
{0, 0, 36, 0, 0, -33, 59, -37} {58, 3, 0, -90, 0, 0, -18, 0} -1062
{0, 0, -48, -23, 0, 0, -23, -64} {38, 0, 0, 0, 67, 0, -121, 34} 607
{108, -21, 0, 0, 63, 25, 0, 0} {0, 0, 87, 72, 0, 0, 63, -41} 0
{-92, 0, 0, 0, -122, 0, 19, 35} {-107, -75, 109, 0, 0, 48, 0, 0} 9844
{0, 119, 0, -67, -126, 0, 0, -59} {0, -21, 0, 0, 60, 34, -41, 0} -10059
{0, 0, 0, 0, 111, -47, 91, 47} {-16, 0, -28, 0, 0, 0, -68, -48} -8444
{126, 0, 20, 127, -123, 0, 0, 0} {-68, 0, 0, 117, 83, -73, 0, 0} -3918
{0, -14, 0, 0, 0, -82, -115, 77} {0, 0, -73, 0, -9, 0, 75, -33} -11166
{0, 0, 0, 0, 68, -73, -54, 13} {-57, 0, -96, 0, 111, 0, 0, -107} 6157
{0, 99, -85, 0, 0, 55, 0, 0} {-7, 42, 43, 0, -96, 0, 0, 0} 503
